"9","0","1","1","0","2","203","11"
"10","0","3","1","1","2","205","10"
"11","0","2","1","0","2","202","9"
"12","0","3","1","1","2","159","168"
"13","0","2","1","0","2","172","119"
"14","0","3","1","1","2","169","129"
"15","0","2","1","0","2","47","9"
"16","0","2","1","0","2","60","79"
"17","0","3","1","1","10","118","1498"
"18","0","3","1","1","10","86","299"
"19","0","3","1","1","10","85","1359"
"20","0","3","1","1","3","145","189"
"21","0","2","1","0","3","149","710"
"22","0","1","1","0","11","90","89"
"23","0","1","1","0","11","96","799"
"24","0","1","1","0","11","93","2250"
